# conv_wav	tgt_wav	sample_id	system	pair
audio/conv/noncausal/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	noncausal	jvs091-jvs096
audio/conv/la0/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	la0	jvs091-jvs096
audio/conv/la1/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	la1	jvs091-jvs096
audio/conv/la2/jvs091_jvs096_parallel_VOICEACTRESS100_091.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs091_jvs096_VA091	la2	jvs091-jvs096
audio/conv/la4/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	la4	jvs091-jvs097
audio/conv/la8/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	la8	jvs091-jvs097
audio/conv/lb0/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	lb0	jvs091-jvs097
audio/conv/lb1/jvs091_jvs097_parallel_VOICEACTRESS100_092.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs091_jvs097_VA092	lb1	jvs091-jvs097
audio/conv/lb4/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	lb4	jvs091-jvs098
audio/conv/lb16/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	lb16	jvs091-jvs098
audio/conv/lb64/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	lb64	jvs091-jvs098
audio/conv/lb256/jvs091_jvs098_parallel_VOICEACTRESS100_093.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs091_jvs098_VA093	lb256	jvs091-jvs098
audio/conv/noncausal/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	noncausal	jvs091-jvs099
audio/conv/la0/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	la0	jvs091-jvs099
audio/conv/la1/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	la1	jvs091-jvs099
audio/conv/la2/jvs091_jvs099_parallel_VOICEACTRESS100_094.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs091_jvs099_VA094	la2	jvs091-jvs099
audio/conv/la4/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	la4	jvs092-jvs096
audio/conv/la8/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	la8	jvs092-jvs096
audio/conv/lb0/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	lb0	jvs092-jvs096
audio/conv/lb1/jvs092_jvs096_parallel_VOICEACTRESS100_095.wav	audio/tgt/jvs096_UT-PARAPHRASE-sent263-phrase1__jvs099_jvs096_parallel_VOICEACTRESS100_093__ref.wav	jvs092_jvs096_VA095	lb1	jvs092-jvs096
audio/conv/lb4/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	lb4	jvs092-jvs097
audio/conv/lb16/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	lb16	jvs092-jvs097
audio/conv/lb64/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	lb64	jvs092-jvs097
audio/conv/lb256/jvs092_jvs097_parallel_VOICEACTRESS100_096.wav	audio/tgt/jvs097_BASIC5000_1805__jvs098_jvs097_parallel_VOICEACTRESS100_091__ref.wav	jvs092_jvs097_VA096	lb256	jvs092-jvs097
audio/conv/noncausal/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	noncausal	jvs092-jvs098
audio/conv/la0/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	la0	jvs092-jvs098
audio/conv/la1/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	la1	jvs092-jvs098
audio/conv/la2/jvs092_jvs098_parallel_VOICEACTRESS100_097.wav	audio/tgt/jvs098_UT-PARAPHRASE-sent270-phrase2__jvs099_jvs098_parallel_VOICEACTRESS100_098__ref.wav	jvs092_jvs098_VA097	la2	jvs092-jvs098
audio/conv/la4/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	la4	jvs092-jvs099
audio/conv/la8/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	la8	jvs092-jvs099
audio/conv/lb0/jvs092_jvs099_parallel_VOICEACTRESS100_098.wav	audio/tgt/jvs099_BASIC5000_2158__jvs091_jvs099_parallel_VOICEACTRESS100_100__ref.wav	jvs092_jvs099_VA098	lb0	jvs092-jvs099
